Chrom	Start	End	GeneID	GeneName	
Scate-ma1	308469604	308471011	Scate02729	KCNH5	
Scate-ma1	308772515	308777021	Scate02730	SERTAD4	
Scate-ma1	308810546	308829144	Scate02731	SYT16	
Scate-ma1	308831199	308838022	Scate02732	SYT16	
Scate-ma1	308916195	308934222	Scate02733	snRNA-activating protein complex subunit 1-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	308943942	308965923	Scate02734	HIF1A	
Scate-ma1	309230831	309273587	Scate02735	SLC38A6	
Scate-ma1	309273710	309282251	Scate02736	TRMT5	
Scate-ma1	309421402	309425911	Scate02737	SIX4	
Scate-ma1	309473778	309481544	Scate02738	SIX1	
Scate-ma1	309640780	309652569	Scate02739	PPM1A	
Scate-ma1	309692900	309703635	Scate02740	DHRS7	
Scate-ma1	309706764	309725111	Scate02741	L345_00645	
Scate-ma1	309761332	309811079	Scate02742	Lrrc9	
Scate-ma1	309908016	309911905	Scate02743	RTN1	
Scate-ma1	309998620	310008332	Scate02744	JNK1/MAPK8-associated membrane protein-like (Crotalus horridus OX%3D35024)	
Scate-ma1	310009173	310016725	Scate02745	L3HYPDH	
Scate-ma1	310018082	310019383	Scate02746	Gpr135	
Scate-ma1	310077184	310098297	Scate02747	DAAM1	
Scate-ma1	310247317	310255310	Scate02748	LOC100556850	
Scate-ma1	310466466	310476037	Scate02749	DACT1	
Scate-ma1	310556194	310608252	Scate02750	L345_00656	
Scate-ma1	310609854	310616987	Scate02751	TIMM9	
Scate-ma1	310616545	310622541	Scate02752	tomm20	
Scate-ma1	310625529	310679336	Scate02753	AT-rich interactive domain-containing protein 4A-like (Crotalus horridus OX%3D35024)	
Scate-ma1	310681800	310702565	Scate02754	Proteasome subunit alpha type (Crotalus adamanteus OX%3D8729)	
Scate-ma1	310737680	310806923	Scate02755	Kinectin isoform a (Crotalus horridus OX%3D35024)	
Scate-ma1	310968659	310977890	Scate02756	E3 ubiquitin-protein ligase pellino homolog 2 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	311087550	311107971	Scate02757	L345_01654	
Scate-ma1	311238832	311247222	Scate02758	Otx2	
Scate-ma1	311535214	311560272	Scate02759	EXOC5	
Scate-ma1	311560249	311572515	Scate02760	MHD domain-containing death-inducing protein-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	311630266	311645584	Scate02761	N-alpha-acetyltransferase 30%2C NatC catalytic subunit-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	311655455	311660927	Scate02762	L345_00370	
Scate-ma1	311684011	311702084	Scate02763	SLC35F4	
Scate-ma1	311951510	311969006	Scate02764	Actin-related protein 10-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	311975825	311982851	Scate02765	ATG14	
Scate-ma1	312000410	312010549	Scate02766	ATG14	
Scate-ma1	312020354	312024476	Scate02767	F-box only protein 34 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	312095115	312096827	Scate02768	U3 small nucleolar ribonucleoprotein IMP3-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	312105248	312123864	Scate02769	DLGAP5	
Scate-ma1	312126739	312132013	Scate02770	LGALS3	
Scate-ma1	312200738	312212836	Scate02771	SOCS4	
Scate-ma1	312214155	312245674	Scate02772	WDHD1	
Scate-ma1	312329241	312362200	Scate02773	SAMD4A	
Scate-ma1	312481661	312489718	Scate02774	CGRRF1	
Scate-ma1	312492111	312510783	Scate02775	Glia maturation factor beta (Crotalus adamanteus OX%3D8729)	
Scate-ma1	312513853	312525414	Scate02776	CNIH	
Scate-ma1	312535270	312540707	Scate02777	CDKN3	
Scate-ma1	312721184	312724965	Scate02778	BMP4	
Scate-ma1	312898935	312919503	Scate02779	HEATR7B2	
Scate-ma1	312933739	312950738	Scate02780	LOC103280784	
Scate-ma1	313099717	313123160	Scate02781	FRMD6	
Scate-ma1	313195957	313203624	Scate02782	unknown function	
Scate-ma1	313213064	313223803	Scate02783	Putative C14orf166-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	313227124	313281676	Scate02784	NID2	
Scate-ma1	313378985	313392353	Scate02785	PTGIR	
Scate-ma1	313413215	313424929	Scate02786	Prostaglandin E2 receptor EP2 subtype (Crotalus horridus OX%3D35024)	
Scate-ma1	313452502	313491358	Scate02787	TXNDC16	
Scate-ma1	313498148	313506961	Scate02788	GPR137B	
Scate-ma1	313518520	313526076	Scate02789	GPR137C	
Scate-ma1	313533285	313565478	Scate02790	ERO1-like protein alpha (Crotalus adamanteus OX%3D8729)	
Scate-ma1	313577518	313592814	Scate02791	26S protease regulatory subunit S10B (Crotalus horridus OX%3D35024)	
Scate-ma1	313599137	313619482	Scate02792	Serine/threonine/tyrosine-interacting protein-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	313620925	313628256	Scate02793	Glucosamine 6-phosphate N-acetyltransferase (Crotalus adamanteus OX%3D8729)	
Scate-ma1	313647024	313674466	Scate02794	fermt2	
Scate-ma1	313772523	313812270	Scate02795	DDHD1	
Scate-ma1	313948556	313985022	Scate02796	Alpha-1%2C4 glucan phosphorylase (Crotalus adamanteus OX%3D8729)	
Scate-ma1	314084561	314118981	Scate02797	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	314152052	314168402	Scate02798	Protein salvador homolog 1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	314168960	314190607	Scate02799	ATL2	
Scate-ma1	314275938	314321184	Scate02800	Mitogen-activated protein kinase kinase kinase kinase (Crotalus horridus OX%3D35024)	
Scate-ma1	314325306	314351572	Scate02801	Cyclin-dependent kinase-like 1-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	314351616	314362196	Scate02802	ATP synthase subunit s%2C mitochondrial-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	314362263	314373533	Scate02803	L-2-hydroxyglutarate dehydrogenase%2C mitochondrial-like (Crotalus horridus OX%3D35024)	
Scate-ma1	314400068	314435652	Scate02804	SOS2	
Scate-ma1	314441835	314447872	Scate02805	VCPKMT	
Scate-ma1	314511807	314526005	Scate02806	Serologically defined colon cancer antigen 1 (Crotalus horridus OX%3D35024)	
Scate-ma1	314529772	314544079	Scate02807	Serologically defined colon cancer antigen 1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	314545035	314557259	Scate02808	Kelch domain-containing protein 2-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	314560258	314574531	Scate02809	KLHDC1	
Scate-ma1	314579721	314615320	Scate02810	POLE2	
Scate-ma1	314621028	314630644	Scate02811	LRR1	
Scate-ma1	314648175	314650694	Scate02812	40S ribosomal protein S29 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	314849136	314855743	Scate02813	HFE2	
Scate-ma1	315797827	315804132	Scate02814	L345_01213	
Scate-ma1	316715042	316721255	Scate02815	Lrfn5	
Scate-ma1	318315041	318323041	Scate02816	Thioredoxin-related transmembrane protein 1 (Crotalus horridus OX%3D35024)	
Scate-ma1	318332879	318342085	Scate02817	Klhl28	
Scate-ma1	318344323	318382525	Scate02818	L345_10073	
Scate-ma1	318385114	318412087	Scate02819	Pre-mRNA-processing factor 39 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	318412023	318420027	Scate02820	FKBP3	
Scate-ma1	318422032	318438342	Scate02821	FANCM	
Scate-ma1	318445219	318462788	Scate02822	FANCM	
Scate-ma1	318467243	318490692	Scate02823	MIS18BP1	
Scate-ma1	318542249	318547288	Scate02824	uafA	
Scate-ma1	318827321	318840422	Scate02825	Cytochrome b561 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	318849402	318853034	Scate02826	znf511	
Scate-ma1	318853339	318868342	Scate02827	Gamma-tubulin complex component (Crotalus adamanteus OX%3D8729)	
Scate-ma1	318871880	318881858	Scate02828	Erlin-1-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	318881958	318897263	Scate02829	CWF19-like protein 1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	318899639	318914693	Scate02830	LOC100560019	
Scate-ma1	318918842	318926107	Scate02831	Dynein light chain (Crotalus adamanteus OX%3D8729)	
Scate-ma1	318935589	318946190	Scate02832	AP-1 complex subunit mu-1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	318946484	318957049	Scate02833	Ras-related protein Rab-8A (Crotalus adamanteus OX%3D8729)	
Scate-ma1	318959510	318964778	Scate02834	Protein FAM32A protein (Crotalus horridus OX%3D35024)	
Scate-ma1	318966043	318987895	Scate02835	Tropomyosin 3%2C gamma (Crotalus adamanteus OX%3D8729)	
Scate-ma1	319033598	319035224	Scate02836	Krueppel-like factor 2-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	319064686	319092134	Scate02837	EPS15	
Scate-ma1	319100428	319113806	Scate02838	CALR	
Scate-ma1	319122560	319138660	Scate02839	CHERP	
Scate-ma1	319142850	319158628	Scate02840	Solute carrier family 35 member E1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	319164699	319172877	Scate02841	Mediator of RNA polymerase II transcription subunit 26 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	319265594	319290928	Scate02842	SIN3B	
Scate-ma1	319302473	319367900	Scate02843	CPAMD8	
Scate-ma1	319404180	319419800	Scate02844	Gamma-interferon-inducible lysosomal thiol reductase-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	319442293	319475631	Scate02845	Phosphatidylinositol 3-kinase regulatory subunit beta (Crotalus adamanteus OX%3D8729)	
Scate-ma1	319485281	319525499	Scate02846	mast3	
Scate-ma1	319616438	319617591	Scate02847	Arrdc2	
Scate-ma1	319624084	319632094	Scate02848	ARRDC3	
Scate-ma1	319709293	319715504	Scate02849	Peroxisomal membrane protein 11C (Crotalus adamanteus OX%3D8729)	
Scate-ma1	319719075	319742893	Scate02850	ARHGEF18	
Scate-ma1	319810017	319838982	Scate02851	Tyrosine-protein kinase receptor (Crotalus adamanteus OX%3D8729)	
Scate-ma1	319904687	319920818	Scate02852	Vesicle transport protein USE1-like isoform 1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	319920905	319926143	Scate02853	60S ribosomal protein L36 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	319927693	319952231	Scate02854	LONP1	
Scate-ma1	319957053	319972583	Scate02855	SLC1A3	
Scate-ma1	319991212	319996004	Scate02856	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex%2C 11 (Crotalus horridus OX%3D35024)	
Scate-ma1	319996464	319998515	Scate02857	VMAC	
Scate-ma1	320003746	320008461	Scate02858	Calcyphosine-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	320012305	320048112	Scate02859	Ran-binding protein 3 (Crotalus horridus OX%3D35024)	
Scate-ma1	320083786	320152220	Scate02860	Myosin-IXb (Crotalus horridus OX%3D35024)	
Scate-ma1	320162150	320177988	Scate02861	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	320179675	320184135	Scate02862	Mpv17-like protein 2-like (Crotalus horridus OX%3D35024)	
Scate-ma1	320191304	320200082	Scate02863	Ras-related protein Rab-3A (Crotalus adamanteus OX%3D8729)	
Scate-ma1	320219487	320261645	Scate02864	Phosphodiesterase (Crotalus adamanteus OX%3D8729)	
Scate-ma1	320415739	320417432	Scate02865	L345_15238	
Scate-ma1	320471983	320482216	Scate02866	LSM4	
Scate-ma1	320516564	320523528	Scate02867	Pyroglutamyl-peptidase 1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	320666721	320693392	Scate02868	SSBP4	
Scate-ma1	320699370	320711394	Scate02869	Inositol-3-phosphate synthase 1-A (Crotalus adamanteus OX%3D8729)	
Scate-ma1	320742678	320777185	Scate02870	Ell	
Scate-ma1	320809881	320822679	Scate02871	DDA1	
Scate-ma1	320831039	320863538	Scate02872	Ano8	
Scate-ma1	320902596	320909247	Scate02873	gtpbp3	
Scate-ma1	320920913	320921128	Scate02874	gtpbp3	
Scate-ma1	320938803	320956090	Scate02875	Plasmalemma vesicle-associated protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	321105206	321131213	Scate02876	PALM	
Scate-ma1	321197965	321237413	Scate02877	Polypyrimidine tract-binding protein 1-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	321256072	321267419	Scate02878	LPPR3	
Scate-ma1	321306483	321308394	Scate02879	unknown function	
Scate-ma1	321312187	321333938	Scate02880	MED16	
Scate-ma1	321344166	321364587	Scate02881	L345_05225	
Scate-ma1	321389831	321412116	Scate02882	gpr54	
Scate-ma1	321481988	321490484	Scate02883	ARID3A	
Scate-ma1	321509175	321527554	Scate02884	RING finger protein 126-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	321558512	321568839	Scate02885	Putative DNA directed RNA polymerase II polypeptide E (Crotalus adamanteus OX%3D8729)	
Scate-ma1	321573450	321616327	Scate02886	KIAA0223 (Crotalus horridus OX%3D35024)	
Scate-ma1	321676875	321683121	Scate02887	Calponin (Crotalus adamanteus OX%3D8729)	
Scate-ma1	321711484	321724965	Scate02888	yjefn3	
Scate-ma1	321752017	321767107	Scate02889	CILP2	
Scate-ma1	321790426	321802556	Scate02890	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	321875326	321882019	Scate02891	PTGFR	
Scate-ma1	321885785	321896488	Scate02892	PDZ domain-containing protein GIPC1-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	321903229	321911890	Scate02893	SWI/SNF-related regulator of chromatin E1-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	321924346	321945828	Scate02894	Fizzy-related protein (Crotalus horridus OX%3D35024)	
Scate-ma1	322036666	322070349	Scate02895	L345_08364	
Scate-ma1	322086830	322094378	Scate02896	DOHH	
Scate-ma1	322100133	322108540	Scate02897	Unc13a	
Scate-ma1	322123224	322134219	Scate02898	LOC103282322	
Scate-ma1	322161196	322189979	Scate02899	Unc13a	
Scate-ma1	322454229	322462454	Scate02900	NFIC	
Scate-ma1	322525415	322533891	Scate02901	Abhydrolase domain-containing protein FAM108A-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	322535801	322541751	Scate02902	Abhydrolase domain-containing protein FAM108A-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	322580604	322623827	Scate02903	Rexo1	
Scate-ma1	322751796	322764142	Scate02904	ATP8B3	
Scate-ma1	323215809	323246435	Scate02905	tcf3	
Scate-ma1	323264114	323286465	Scate02906	Methyl-CpG-binding domain protein 3-like (Crotalus horridus OX%3D35024)	
Scate-ma1	323394550	323419002	Scate02907	Rorb	
Scate-ma1	323429279	323457699	Scate02908	Secretory carrier-associated membrane protein (Crotalus horridus OX%3D35024)	
Scate-ma1	323539453	323552783	Scate02909	Casein kinase I isoform gamma-2 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	323560437	323564350	Scate02910	Csnk1g3	
Scate-ma1	323571348	323588717	Scate02911	BTBD2	
Scate-ma1	323604305	323608454	Scate02912	mknk2	
Scate-ma1	323621376	323631883	Scate02913	MKNK2	
Scate-ma1	323691676	323712693	Scate02914	Mps one binder kinase activator-like 2A (Crotalus horridus OX%3D35024)	
Scate-ma1	323732915	323790751	Scate02915	Adapter-related protein complex 3 delta 1 subunit (Crotalus horridus OX%3D35024)	
Scate-ma1	323825715	323852992	Scate02916	DOT1L	
Scate-ma1	323855361	323869627	Scate02917	DOT1L	
Scate-ma1	323871423	323888133	Scate02918	DOT1L	
Scate-ma1	323905072	323912103	Scate02919	Pleckstrin domain-containing family J member 1-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	323912356	323924662	Scate02920	SF3A2	
Scate-ma1	323928812	323943703	Scate02921	AMH	
Scate-ma1	323950234	323961375	Scate02922	Rtl1	
Scate-ma1	323993270	324003692	Scate02923	oaz2	
Scate-ma1	324006804	324071856	Scate02924	MYO1F	
Scate-ma1	324094590	324132693	Scate02925	adamts10	
Scate-ma1	324139573	324157456	Scate02926	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	324193710	324195911	Scate02927	SYK	
Scate-ma1	324207175	324213956	Scate02928	SYK	
Scate-ma1	324256497	324257840	Scate02929	ACTL9	
Scate-ma1	324262221	324263564	Scate02930	ACTL9	
Scate-ma1	324270398	324274393	Scate02931	MUC16	
Scate-ma1	324283372	324303891	Scate02932	LOC103282787	
Scate-ma1	324304444	324304683	Scate02933	MUC16	
Scate-ma1	324340801	324346347	Scate02934	MUC1	
Scate-ma1	324467065	324488817	Scate02935	Peptidylprolyl isomerase (Crotalus horridus OX%3D35024)	
Scate-ma1	324493472	324500295	Scate02936	L345_09842	
Scate-ma1	324541374	324549238	Scate02937	WDR18	
Scate-ma1	324655864	324675818	Scate02938	GRIN3B	
Scate-ma1	324684219	324718735	Scate02939	Membralin (Crotalus horridus OX%3D35024)	
Scate-ma1	324741028	324751223	Scate02940	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex subunit 13 (Crotalus horridus OX%3D35024)	
Scate-ma1	324756806	324781847	Scate02941	Transcriptional repressor p66-alpha-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	324877028	324913447	Scate02942	Mau2	
Scate-ma1	324914763	324943164	Scate02943	Sugp1	
Scate-ma1	324957289	324974542	Scate02944	Tm6sf2	
Scate-ma1	325063962	325081286	Scate02945	NCAN	
Scate-ma1	325084945	325094009	Scate02946	NCAN	
Scate-ma1	325233627	325243020	Scate02947	NR2C2AP	
Scate-ma1	325257657	325263764	Scate02948	RFXANK	
Scate-ma1	325355696	325368911	Scate02949	MEF2B	
Scate-ma1	325472023	325488365	Scate02950	Transmembrane protein 161A (Crotalus horridus OX%3D35024)	
Scate-ma1	325495964	325505860	Scate02951	Solute carrier family 25 member 42 (Crotalus horridus OX%3D35024)	
Scate-ma1	325507088	325512703	Scate02952	Solute carrier family 25 member 42 (Crotalus horridus OX%3D35024)	
Scate-ma1	325564277	325586553	Scate02953	Armadillo repeat-containing protein 6 (Crotalus horridus OX%3D35024)	
Scate-ma1	325592469	325602393	Scate02954	SURP and G-patch domain-containing protein 2 (Crotalus horridus OX%3D35024)	
Scate-ma1	325603917	325614372	Scate02955	SURP and G-patch domain-containing protein 2 (Crotalus horridus OX%3D35024)	
Scate-ma1	325691251	325711314	Scate02956	HOMER1	
Scate-ma1	325729797	325756228	Scate02957	DDX47	
Scate-ma1	325757345	325778080	Scate02958	Coatomer subunit epsilon (Crotalus horridus OX%3D35024)	
Scate-ma1	325830581	325839251	Scate02959	Cers1	
Scate-ma1	325852316	325856045	Scate02960	derriere	
Scate-ma1	325857522	325901956	Scate02961	Regulator of nonsense transcripts 1-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	325929537	325961557	Scate02962	comp	
Scate-ma1	325979208	326010211	Scate02963	CRTC1	
Scate-ma1	326136502	326139842	Scate02964	Transmembrane protein 59-like (Crotalus horridus OX%3D35024)	
Scate-ma1	326243222	326257736	Scate02965	Cytokine receptor-like factor 1 isoform X3 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	326260189	326269002	Scate02966	Putative C19orf60-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	326377171	326377586	Scate02967	MUC16	
Scate-ma1	326380256	326391980	Scate02968	LOC103282787	
Scate-ma1	326450085	326476338	Scate02969	PIP5K1C	
Scate-ma1	326530210	326534913	Scate02970	UPF0449 protein C19orf25-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	326540984	326546493	Scate02971	mrpl54	
Scate-ma1	326554012	326562028	Scate02972	APBA1	
Scate-ma1	326562070	326577432	Scate02973	APBA1	
Scate-ma1	326583869	326613848	Scate02974	Tjp3	
Scate-ma1	326640827	326672670	Scate02975	apc2	
Scate-ma1	326725837	326732767	Scate02976	40S ribosomal protein S15 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	326744312	326755219	Scate02977	DAZ associated protein 1%2C isoform CRA_b (Crotalus horridus OX%3D35024)	
Scate-ma1	326769072	326773176	Scate02978	DAZ associated protein 1%2C isoform CRA_b (Crotalus horridus OX%3D35024)	
Scate-ma1	326819916	326825751	Scate02979	GAMT	
Scate-ma1	326827741	326842596	Scate02980	NADH dehydrogenase (Ubiquinone) iron-sulfur protein 7%2C mitochondrial-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	326907723	326914119	Scate02981	Camk4	
Scate-ma1	327438351	327442022	Scate02982	L345_12711	
Scate-ma1	327442672	327448434	Scate02983	atp5f1d	
Scate-ma1	327544795	327548162	Scate02984	midn	
Scate-ma1	327705129	327710295	Scate02985	CIRBP	
Scate-ma1	327723856	327750780	Scate02986	Dos	
Scate-ma1	327808693	327816213	Scate02987	Serine/threonine-protein kinase STK11 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	327962935	327987077	Scate02988	LOC100552498	
Scate-ma1	328005334	328024035	Scate02989	sbno2	
Scate-ma1	328033523	328042709	Scate02990	gpx4	
Scate-ma1	328063208	328065790	Scate02991	POLRMT	
Scate-ma1	328088717	328105740	Scate02992	POLRMT	
Scate-ma1	328215126	328221629	Scate02993	HCN2	
Scate-ma1	328223348	328224364	Scate02994	HCN2	
Scate-ma1	328254928	328272649	Scate02995	Basigin (Crotalus horridus OX%3D35024)	
Scate-ma1	328305204	328312725	Scate02996	Ubiquitin-conjugating enzyme E2 R1 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	328342479	328342937	Scate02997	L345_14622	
Scate-ma1	328344140	328345514	Scate02998	L345_14622	
Scate-ma1	328372626	328380328	Scate02999	DAN4	
Scate-ma1	328466022	328487482	Scate03000	shc2	
Scate-ma1	328794104	328840144	Scate03001	MIER2	
Scate-ma1	328864746	328900825	Scate03002	LOC103282176	
Scate-ma1	329009730	329073573	Scate03003	Transducin-like enhancer protein 1-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	329079016	329082148	Scate03004	LOC100565671	
Scate-ma1	329083438	329087577	Scate03005	LOC100565671	
Scate-ma1	329087977	329092646	Scate03006	LOC100565671	
Scate-ma1	329161350	329186202	Scate03007	Amino-terminal enhancer of split-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	329225798	329259742	Scate03008	Guanine nucleotide-binding protein subunit alpha-11 (Crotalus horridus OX%3D35024)	
Scate-ma1	329378975	329412294	Scate03009	Nicalin (Crotalus adamanteus OX%3D8729)	
Scate-ma1	329491903	329505070	Scate03010	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	329523284	329532929	Scate03011	MICOS complex subunit MIC13 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	329546054	329577444	Scate03012	SAFB	
Scate-ma1	329584118	329615545	Scate03013	SAFB2	
Scate-ma1	330159242	330160994	Scate03014	PTPRS	
Scate-ma1	330299361	330339486	Scate03015	PTPRD	
Scate-ma1	330436596	330436970	Scate03016	Uncharacterized protein (Fragment) (Anolis carolinensis OX%3D28377)	
Scate-ma1	330573520	330593539	Scate03017	Lysine-specific demethylase 4B-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	330639041	330675418	Scate03018	Uhrf2	
Scate-ma1	330713860	330727810	Scate03019	PLIN2	
Scate-ma1	330748229	330750199	Scate03020	FEM1A	
Scate-ma1	330812875	330872480	Scate03021	Dipeptidyl-peptidase 9 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	330889237	330891439	Scate03022	LOC100563896	
Scate-ma1	330896157	330897694	Scate03023	Ctsq	
Scate-ma1	331052715	331078439	Scate03024	Fibronectin type III and SPRY domain containing 1-like isoform X4 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	331124231	331129685	Scate03025	Uncharacterized protein (Anolis carolinensis OX%3D28377)	
Scate-ma1	331156527	331169979	Scate03026	Endophilin-A2 (Crotalus horridus OX%3D35024)	
Scate-ma1	331234101	331266121	Scate03027	UBXN6	
Scate-ma1	331272171	331313574	Scate03028	Hepatoma-derived growth factor-related protein 2 (Crotalus horridus OX%3D35024)	
Scate-ma1	331321280	331323067	Scate03029	L345_16375	
Scate-ma1	331329257	331338611	Scate03030	L345_16375	
Scate-ma1	331354385	331371843	Scate03031	L345_15911	
Scate-ma1	331390357	331393882	Scate03032	Perilipin (Crotalus adamanteus OX%3D8729)	
Scate-ma1	331414202	331428163	Scate03033	LOC100564753	
Scate-ma1	331445410	331451491	Scate03034	Phospholipase A2 inhibitor (Crotalus adamanteus OX%3D8729)	
Scate-ma1	331462656	331468654	Scate03035	Phospholipase A2 inhibitor (Crotalus adamanteus OX%3D8729)	
Scate-ma1	331492106	331502616	Scate03036	SEMA6B	
Scate-ma1	331645725	331666696	Scate03037	SIRT6	
Scate-ma1	331727477	331736189	Scate03038	map2k2	
Scate-ma1	331848843	331860905	Scate03039	Zinc finger and BTB domain-containing protein 7A (Crotalus adamanteus OX%3D8729)	
Scate-ma1	331925973	331960299	Scate03040	E3 SUMO-protein ligase PIAS4 (Crotalus horridus OX%3D35024)	
Scate-ma1	331973953	332009403	Scate03041	Elongation factor 2 (Crotalus horridus OX%3D35024)	
Scate-ma1	332030339	332041328	Scate03042	Death-associated protein kinase 3 (Crotalus adamanteus OX%3D8729)	
Scate-ma1	332073189	332078021	Scate03043	Cathepsin L1-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	332106795	332119652	Scate03044	LOX	
Scate-ma1	332127052	332154457	Scate03045	ANKRD24	
Scate-ma1	332172488	332176826	Scate03046	CTSL1	
Scate-ma1	332204249	332220788	Scate03047	Cathepsin L1-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	332262351	332278908	Scate03048	Cathepsin L1-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	332374100	332374419	Scate03049	40S ribosomal protein S28-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	332375676	332383674	Scate03050	NADH dehydrogenase (Ubiquinone) 1 alpha subcomplex subunit 7 (Crotalus horridus OX%3D35024)	
Scate-ma1	332400155	332404287	Scate03051	KCNV2	
Scate-ma1	332455693	332478968	Scate03052	SLC1A7	
Scate-ma1	332523112	332527506	Scate03053	L345_15948	
Scate-ma1	332549461	332563222	Scate03054	BRISC and BRCA1-A complex member 1-like protein (Crotalus horridus OX%3D35024)	
Scate-ma1	332612042	332626221	Scate03055	Nuclear receptor subfamily 2%2C group F%2C member 6 (Crotalus horridus OX%3D35024)	
Scate-ma1	332634451	332641241	Scate03056	OCLN	
Scate-ma1	332683461	332708629	Scate03057	KCNN2	
Scate-ma1	332728225	332737721	Scate03058	Coiled-coil domain-containing protein 124 (Crotalus horridus OX%3D35024)	
Scate-ma1	332747612	332748148	Scate03059	SLC5A12	
Scate-ma1	332798531	332815705	Scate03060	LOC100556945	
Scate-ma1	332825203	332840358	Scate03061	Map1b	
Scate-ma1	332870472	332872272	Scate03062	Growth arrest and DNA damage-inducible protein GADD45 alpha-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	332892541	332894569	Scate03063	GNG7	
Scate-ma1	332949047	332956451	Scate03064	Small glutamine-rich tetratricopeptide repeat-containing protein alpha-like protein (Crotalus adamanteus OX%3D8729)	
Scate-ma1	332956853	332963501	Scate03065	Thimet oligopeptidase (Crotalus adamanteus OX%3D8729)	
Scate-ma1	332969968	332979454	Scate03066	L345_16951	
Scate-ma1	332984327	332989559	Scate03067	Lmnb1	
Scate-ma1	333016681	333017597	Scate03068	Timm8a	
Scate-ma1	333018714	333032153	Scate03069	TMPRSS9	
Scate-ma1	333050692	333065552	Scate03070	L345_15055	
Scate-ma1	333065946	333067370	Scate03071	U6 snRNA-associated Sm-like protein LSm7-like (Crotalus adamanteus OX%3D8729)	
Scate-ma1	333068471	333073658	Scate03072	L345_15053	
Scate-ma1	333075788	333084049	Scate03073	ADAMTSL5	
Scate-ma1	333149277	333163925	Scate03074	ANP32E	
